1 13 7
ZDG04 BHZ 0.224 0.74 0.782 0.32
ZDG02 HHZ 0.788 0.51 0.790 0.75
5 1273 12
ZDG14 HHZ 0.134 0.91 0.132 0.97
ZDG13 HHZ 0.096 0.91 0.099 0.96
ZDG16 HHZ 0.171 0.34 0.096 0.77
ZDG12 HHZ 0.109 0.54 0.101 0.94
ZDG09 BHZ 0.009 0.52 0.130 0.84
ZDG08 BHZ 0.090 0.88 0.082 0.83
ZDG07 BHZ -0.558 0.95 0.081 0.28
ZDG06 BHZ 0.090 0.68 0.086 0.94
ZDG05 BHZ -0.604 0.40 0.127 0.67
ZDG04 BHZ 0.135 0.97 0.132 0.63
ZDG03 HHZ 0.121 0.72 0.124 0.65
ZDG02 HHZ 0.767 0.57 0.112 0.67
13 363 11
ZDG14 HHZ -0.092 0.81 -0.148 0.45
ZDG13 HHZ -0.083 0.96 -0.137 0.81
ZDG16 HHZ 0.081 0.76 0.165 0.63
ZDG12 HHZ -0.147 0.68 0.076 0.57
ZDG10 BHZ -0.060 0.50 -0.241 0.72
ZDG09 BHZ -0.134 0.66 -0.495 0.54
ZDG08 BHZ -0.007 0.57 -0.254 0.85
ZDG07 BHZ -0.145 0.58 -0.262 0.72
ZDG06 BHZ 0.529 0.71 -0.251 0.93
ZDG04 BHZ -0.192 0.56 0.588 0.35
ZDG02 HHZ 0.701 0.51 0.523 0.62
13 1072 8
ZDG14 HHZ 0.130 0.62 0.113 0.57
ZDG13 HHZ 0.128 0.77 0.108 0.82
ZDG16 HHZ 0.167 0.57 0.163 0.75
ZDG12 HHZ 0.102 0.86 0.081 0.75
ZDG09 BHZ 0.600 0.51 -0.020 0.76
ZDG08 BHZ 0.099 0.40 0.050 0.73
ZDG06 BHZ 0.024 0.65 0.048 0.91
ZDG05 BHZ 0.311 0.59 0.088 0.46
13 1163 10
ZDG14 HHZ -0.083 0.81 -0.137 0.47
ZDG13 HHZ -0.095 0.96 -0.138 0.81
ZDG16 HHZ 0.071 0.77 0.152 0.62
ZDG12 HHZ -0.149 0.68 -0.220 0.55
ZDG09 BHZ 0.796 0.52 -0.203 0.62
ZDG08 BHZ 0.765 0.63 -0.279 0.76
ZDG07 BHZ -0.168 0.71 -0.286 0.82
ZDG06 BHZ 0.705 0.38 -0.274 0.95
ZDG05 BHZ 0.575 0.61 -0.240 0.75
ZDG04 BHZ -0.183 0.62 -0.228 0.68
13 136 7
ZDG14 HHZ -0.071 0.77 -0.660 0.34
ZDG13 HHZ -0.038 0.85 -0.105 0.69
ZDG16 HHZ 0.238 0.49 0.380 0.65
ZDG09 BHZ -0.781 0.64 0.540 0.56
ZDG08 BHZ 0.209 0.47 -0.305 0.80
ZDG06 BHZ 0.329 0.27 -0.297 0.69
ZDG04 BHZ 0.772 0.66 -0.606 0.26
13 1310 12
ZDG14 HHZ 0.002 0.95 0.008 0.72
ZDG13 HHZ -0.020 0.94 -0.028 0.71
ZDG16 HHZ -0.060 0.76 -0.085 0.71
ZDG12 HHZ -0.030 0.69 -0.020 0.78
ZDG09 BHZ 0.001 0.77 0.012 0.61
ZDG08 BHZ -0.093 0.84 -0.038 0.84
ZDG07 BHZ -0.042 0.71 0.123 0.85
ZDG06 BHZ -0.036 0.53 -0.029 0.96
ZDG05 BHZ 0.005 0.56 0.005 0.81
ZDG04 BHZ 0.015 0.91 0.013 0.81
ZDG03 HHZ 0.014 0.65 0.003 0.56
ZDG02 HHZ -0.305 0.16 0.192 0.72
13 950 6
ZDG14 HHZ -0.074 0.61 0.750 0.30
ZDG13 HHZ 0.389 0.54 0.009 0.57
ZDG16 HHZ 0.005 0.72 0.576 0.46
ZDG12 HHZ 0.174 0.49 0.351 0.40
ZDG08 BHZ 0.252 0.61 0.272 0.64
ZDG06 BHZ -0.191 0.33 0.251 0.84
13 457 8
ZDG14 HHZ 0.048 0.94 0.107 0.42
ZDG13 HHZ 0.030 0.91 0.067 0.64
ZDG16 HHZ -0.129 0.60 -0.228 0.45
ZDG12 HHZ 0.037 0.68 0.115 0.60
ZDG10 BHZ -0.039 0.53 0.137 0.80
ZDG09 BHZ -0.067 0.41 0.131 0.67
ZDG08 BHZ 0.294 0.57 0.120 0.86
ZDG02 HHZ -0.104 0.16 -0.026 0.63
28 925 11
ZDG14 HHZ 0.055 0.96 0.052 0.88
ZDG16 HHZ 0.042 0.99 0.043 0.97
ZDG13 HHZ 0.040 0.96 0.039 0.93
ZDG12 HHZ 0.046 0.88 0.029 0.66
ZDG10 BHZ 0.364 0.64 -0.742 0.30
ZDG09 BHZ -0.798 0.71 0.051 0.55
ZDG08 BHZ 0.673 0.32 0.014 0.65
ZDG07 BHZ 0.028 0.94 -0.432 0.63
ZDG06 BHZ -0.580 0.64 0.015 0.89
ZDG05 BHZ 0.401 0.71 -0.114 0.44
ZDG02 HHZ 0.735 0.66 0.638 0.57
28 1061 9
ZDG14 HHZ 0.029 0.90 0.043 0.81
ZDG13 HHZ 0.007 0.96 0.007 0.88
ZDG12 HHZ 0.001 0.84 0.003 0.89
ZDG09 BHZ -0.052 0.78 -0.756 0.43
ZDG08 BHZ 0.714 0.52 -0.025 0.76
ZDG07 BHZ -0.769 0.95 -0.697 0.53
ZDG06 BHZ -0.013 0.61 -0.023 0.70
ZDG05 BHZ 0.567 0.68 -0.266 0.33
ZDG02 HHZ 0.192 0.69 -0.768 0.49
28 1099 9
ZDG14 HHZ 0.023 0.90 -0.002 0.68
ZDG16 HHZ 0.081 0.78 0.112 0.85
ZDG13 HHZ 0.013 0.97 -0.004 0.67
ZDG12 HHZ 0.002 0.78 -0.037 0.87
ZDG09 BHZ -0.266 0.81 -0.793 0.51
ZDG08 BHZ 0.380 0.39 -0.061 0.74
ZDG07 BHZ -0.153 0.81 -0.063 0.78
ZDG06 BHZ -0.589 0.67 -0.055 0.96
ZDG02 HHZ 0.082 0.80 -0.781 0.65
28 320 11
ZDG14 HHZ -0.009 0.90 -0.024 0.68
ZDG16 HHZ 0.031 0.90 0.059 0.89
ZDG13 HHZ -0.021 0.97 -0.032 0.78
ZDG12 HHZ -0.028 0.60 -0.056 0.85
ZDG10 BHZ 0.631 0.27 -0.059 0.91
ZDG09 BHZ 0.636 0.64 -0.646 0.40
ZDG08 BHZ -0.446 0.40 -0.069 0.69
ZDG07 BHZ -0.099 0.82 -0.757 0.74
ZDG06 BHZ -0.735 0.44 -0.072 0.65
ZDG05 BHZ 0.763 0.61 0.699 0.34
ZDG02 HHZ 0.559 0.75 -0.575 0.64
28 1100 10
ZDG14 HHZ 0.007 0.91 -0.003 0.70
ZDG13 HHZ 0.005 0.96 -0.020 0.74
ZDG12 HHZ -0.016 0.61 -0.046 0.91
ZDG09 BHZ -0.007 0.85 -0.816 0.45
ZDG08 BHZ 0.000 0.25 -0.079 0.71
ZDG07 BHZ -0.703 0.82 -0.830 0.46
ZDG06 BHZ -0.694 0.64 -0.065 0.49
ZDG05 BHZ 0.035 0.65 -0.413 0.37
ZDG04 BHZ 0.797 0.66 0.072 0.44
ZDG02 HHZ -0.232 0.77 0.749 0.65
28 1725 9
ZDG14 HHZ 0.069 0.97 0.061 0.94
ZDG16 HHZ 0.023 0.82 0.015 0.82
ZDG13 HHZ 0.035 0.96 0.036 0.93
ZDG12 HHZ 0.036 0.74 0.037 0.84
ZDG09 BHZ -0.115 0.75 0.061 0.53
ZDG08 BHZ 0.091 0.49 0.015 0.78
ZDG07 BHZ -0.630 0.91 -0.431 0.68
ZDG06 BHZ -0.521 0.61 0.016 0.94
ZDG02 HHZ 0.268 0.73 -0.323 0.47
28 1648 9
ZDG14 HHZ 0.080 0.98 0.083 0.92
ZDG16 HHZ 0.049 0.98 0.054 0.95
ZDG13 HHZ 0.055 0.97 0.055 0.95
ZDG12 HHZ 0.063 0.89 0.050 0.87
ZDG09 BHZ -0.794 0.65 -0.696 0.55
ZDG08 BHZ -0.555 0.43 0.027 0.77
ZDG07 BHZ 0.803 0.55 -0.627 0.70
ZDG06 BHZ 0.647 0.59 0.029 0.96
ZDG02 HHZ 0.532 0.75 0.085 0.54
28 1726 11
ZDG14 HHZ 0.057 0.97 0.056 0.96
ZDG13 HHZ 0.034 0.97 0.034 0.97
ZDG12 HHZ 0.033 0.86 0.032 0.86
ZDG09 BHZ 0.055 0.85 -0.706 0.37
ZDG08 BHZ 0.790 0.46 0.011 0.78
ZDG07 BHZ -0.616 0.87 -0.631 0.69
ZDG06 BHZ -0.325 0.61 0.117 0.71
ZDG05 BHZ 0.058 0.54 -0.376 0.38
ZDG04 BHZ 0.742 0.62 0.556 0.48
ZDG03 HHZ 0.695 0.51 -0.359 0.64
ZDG02 HHZ -0.808 0.78 0.628 0.50
28 1636 11
ZDG14 HHZ 0.064 0.99 0.061 0.97
ZDG16 HHZ 0.040 0.32 0.038 0.66
ZDG13 HHZ 0.042 0.98 0.041 0.98
ZDG12 HHZ 0.028 0.84 0.031 0.88
ZDG09 BHZ -0.047 0.78 0.061 0.43
ZDG08 BHZ 0.788 0.43 0.011 0.76
ZDG07 BHZ 0.450 0.93 0.001 0.55
ZDG06 BHZ -0.716 0.39 0.002 0.88
ZDG05 BHZ 0.023 0.71 -0.397 0.45
ZDG04 BHZ 0.408 0.69 -0.577 0.40
ZDG02 HHZ -0.429 0.77 0.226 0.53
28 1105 9
ZDG14 HHZ -0.021 0.89 -0.021 0.62
ZDG16 HHZ -0.007 0.94 0.020 0.77
ZDG13 HHZ -0.042 0.97 -0.051 0.64
ZDG12 HHZ -0.060 0.68 -0.069 0.68
ZDG10 BHZ -0.745 0.66 -0.484 0.41
ZDG09 BHZ -0.038 0.91 -0.070 0.55
ZDG08 BHZ 0.771 0.51 -0.114 0.76
ZDG07 BHZ 0.247 0.85 -0.106 0.64
ZDG06 BHZ -0.321 0.67 -0.101 0.93
28 1732 10
ZDG14 HHZ 0.005 0.89 -0.007 0.60
ZDG13 HHZ -0.013 0.96 -0.034 0.66
ZDG12 HHZ -0.041 0.69 -0.057 0.67
ZDG10 BHZ 0.615 0.64 0.369 0.28
ZDG09 BHZ -0.136 0.48 -0.047 0.67
ZDG08 BHZ 0.644 0.51 -0.097 0.74
ZDG07 BHZ -0.726 0.74 -0.097 0.60
ZDG06 BHZ 0.117 0.56 -0.095 0.94
ZDG04 BHZ -0.709 0.57 -0.043 0.48
ZDG02 HHZ 0.694 0.60 -0.224 0.56
28 1112 11
ZDG14 HHZ -0.084 0.88 -0.086 0.72
ZDG16 HHZ -0.120 0.87 -0.099 0.87
ZDG13 HHZ -0.105 0.96 -0.107 0.63
ZDG12 HHZ -0.123 0.76 -0.128 0.87
ZDG09 BHZ 0.543 0.64 -0.118 0.55
ZDG08 BHZ 0.586 0.58 -0.149 0.77
ZDG07 BHZ -0.610 0.69 -0.156 0.70
ZDG06 BHZ -0.366 0.77 -0.145 0.93
ZDG05 BHZ -0.568 0.50 -0.731 0.37
ZDG03 HHZ 0.781 0.45 0.349 0.51
ZDG02 HHZ -0.625 0.66 -0.092 0.56
28 936 11
ZDG14 HHZ -0.038 0.93 -0.053 0.67
ZDG16 HHZ -0.021 0.28 0.015 0.63
ZDG13 HHZ -0.063 0.97 -0.062 0.83
ZDG12 HHZ -0.057 0.74 -0.094 0.79
ZDG10 BHZ 0.721 0.57 -0.167 0.32
ZDG08 BHZ 0.754 0.52 -0.116 0.77
ZDG07 BHZ -0.762 0.72 -0.131 0.77
ZDG06 BHZ -0.566 0.53 -0.112 0.94
ZDG05 BHZ 0.057 0.65 -0.254 0.50
ZDG04 BHZ -0.302 0.60 0.262 0.53
ZDG02 HHZ 0.775 0.75 -0.197 0.54
28 1655 9
ZDG14 HHZ 0.002 0.96 -0.003 0.84
ZDG16 HHZ -0.028 0.97 -0.033 0.93
ZDG13 HHZ -0.025 0.96 -0.036 0.91
ZDG12 HHZ -0.034 0.86 -0.029 0.84
ZDG08 BHZ 0.689 0.57 -0.062 0.77
ZDG07 BHZ 0.684 0.42 -0.718 0.69
ZDG06 BHZ -0.703 0.63 -0.062 0.97
ZDG04 BHZ -0.669 0.46 0.004 0.63
ZDG02 HHZ 0.789 0.69 -0.772 0.63
28 47 12
ZDG14 HHZ -0.049 0.97 -0.041 0.89
ZDG16 HHZ -0.052 0.97 -0.055 0.94
ZDG13 HHZ -0.053 0.99 -0.054 0.91
ZDG12 HHZ -0.049 0.89 -0.048 0.94
ZDG10 BHZ -0.167 0.45 -0.051 0.97
ZDG09 BHZ 0.246 0.47 -0.053 0.82
ZDG08 BHZ -0.755 0.68 -0.055 0.84
ZDG07 BHZ -0.656 0.82 -0.044 0.86
ZDG06 BHZ -0.161 0.66 -0.052 0.98
ZDG04 BHZ -0.725 0.39 -0.053 0.67
ZDG03 HHZ -0.622 0.42 -0.611 0.74
ZDG02 HHZ -0.150 0.70 -0.031 0.61
28 1722 10
ZDG14 HHZ 0.030 0.91 0.019 0.70
ZDG13 HHZ 0.011 0.95 -0.003 0.74
ZDG12 HHZ 0.001 0.66 -0.032 0.86
ZDG09 BHZ -0.655 0.81 0.281 0.51
ZDG08 BHZ 0.730 0.59 -0.062 0.73
ZDG07 BHZ -0.801 0.70 -0.062 0.78
ZDG06 BHZ -0.477 0.58 -0.058 0.66
ZDG05 BHZ -0.147 0.63 -0.284 0.52
ZDG04 BHZ 0.413 0.59 -0.391 0.34
ZDG02 HHZ 0.265 0.84 -0.731 0.48
28 51 10
ZDG14 HHZ -0.006 0.96 -0.006 0.83
ZDG16 HHZ -0.004 0.96 0.004 0.94
ZDG13 HHZ -0.009 0.98 -0.011 0.91
ZDG12 HHZ -0.014 0.82 -0.015 0.92
ZDG10 BHZ 0.191 0.34 -0.021 0.95
ZDG09 BHZ 0.475 0.51 -0.811 0.71
ZDG08 BHZ 0.755 0.58 -0.035 0.86
ZDG07 BHZ -0.607 0.92 -0.023 0.86
ZDG06 BHZ 0.462 0.58 -0.021 0.96
ZDG02 HHZ 0.126 0.78 -0.559 0.30
28 1654 9
ZDG14 HHZ -0.069 0.92 -0.063 0.79
ZDG16 HHZ -0.101 0.92 -0.107 0.87
ZDG13 HHZ -0.096 0.91 -0.099 0.70
ZDG12 HHZ -0.096 0.79 -0.101 0.75
ZDG09 BHZ 0.428 0.76 -0.222 0.47
ZDG08 BHZ -0.723 0.34 -0.134 0.74
ZDG07 BHZ -0.792 0.88 -0.138 0.65
ZDG06 BHZ -0.089 0.49 -0.118 0.63
ZDG02 HHZ -0.215 0.82 -0.256 0.52
31 109 13
ZDG14 HHZ -0.041 0.97 -0.046 0.84
ZDG13 HHZ -0.050 0.97 -0.047 0.88
ZDG16 HHZ -0.048 0.98 0.061 0.62
ZDG12 HHZ -0.047 0.99 -0.068 0.39
ZDG10 BHZ -0.050 0.98 -0.056 0.90
ZDG09 BHZ -0.051 0.99 -0.058 0.91
ZDG08 BHZ -0.054 0.86 -0.060 0.88
ZDG07 BHZ -0.054 0.89 0.128 0.80
ZDG06 BHZ -0.062 0.91 -0.053 0.99
ZDG05 BHZ -0.049 0.85 -0.055 0.95
ZDG04 BHZ -0.048 0.89 -0.056 0.95
ZDG03 HHZ -0.056 0.50 -0.052 0.70
ZDG02 HHZ -0.043 0.53 -0.053 0.79
31 765 8
ZDG14 HHZ -0.047 0.93 -0.055 0.72
ZDG13 HHZ -0.069 0.95 -0.078 0.81
ZDG16 HHZ -0.079 0.97 0.040 0.55
ZDG12 HHZ -0.079 0.97 -0.091 0.36
ZDG08 BHZ -0.042 0.59 -0.097 0.72
ZDG06 BHZ 0.359 0.82 -0.093 0.76
ZDG05 BHZ -0.787 0.63 0.795 0.42
ZDG04 BHZ -0.619 0.62 -0.508 0.51
31 1231 11
ZDG14 HHZ -0.048 0.96 -0.052 0.82
ZDG13 HHZ -0.070 0.97 -0.076 0.86
ZDG16 HHZ -0.080 0.98 0.029 0.60
ZDG12 HHZ -0.079 0.99 -0.098 0.40
ZDG09 BHZ -0.055 0.94 -0.062 0.82
ZDG08 BHZ -0.094 0.84 -0.101 0.78
ZDG07 BHZ -0.096 0.73 0.054 0.66
ZDG06 BHZ -0.109 0.95 -0.103 0.98
ZDG05 BHZ -0.060 0.89 -0.075 0.84
